Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,Finrat,Savings
good,9,rent,60,30,married,no_rec,freelance,73,129,0,0,800,846,94.56264775,4.2
good,17,rent,60,58,widow,no_rec,fixed,48,131,0,0,1000,1658,60.31363088,4.98
bad,10,owner,36,46,married,yes_rec,freelance,90,200,3000,0,2000,2985,67.00167504,1.98
good,0,rent,60,24,single,no_rec,fixed,63,182,2500,0,900,1325,67.9245283,7.933333333
good,0,rent,36,26,single,no_rec,fixed,46,107,0,0,310,910,34.06593407,7.083870968
good,1,owner,60,36,married,no_rec,fixed,75,214,3500,0,650,1645,39.51367781,12.83076923
good,29,owner,60,44,married,no_rec,fixed,75,125,10000,0,1600,1800,88.88888889,1.875
good,9,parents,12,27,single,no_rec,fixed,35,80,0,0,200,1093,18.29826167,2.7
good,0,owner,60,32,married,no_rec,freelance,90,107,15000,0,1200,1957,61.3183444,0.85
bad,0,parents,48,41,married,no_rec,partime,90,80,0,0,1200,1468,81.74386921,-0.4
good,6,owner,48,34,married,no_rec,freelance,60,125,4000,0,1150,1577,72.92327204,2.713043478
good,7,owner,36,29,married,no_rec,fixed,60,121,3000,0,650,915,71.03825137,3.378461538
good,8,owner,60,30,married,no_rec,fixed,75,199,5000,2500,1500,1650,90.90909091,3.96
good,19,priv,36,37,married,no_rec,fixed,75,170,3500,260,600,940,63.82978723,5.544
bad,0,other,18,21,single,yes_rec,partime,35,50,0,0,400,500,80,0.675
good,0,owner,24,68,married,no_rec,fixed,75,131,4162,0,900,1186,75.88532884,1.493333333
good,15,priv,24,52,single,no_rec,freelance,35,330,16500,0,1500,2201,68.15084053,4.72
good,33,rent,24,68,married,no_rec,freelance,65,200,5000,2000,600,1350,44.44444444,4.6
bad,0,ignore,48,36,married,no_rec,partime,45,130,750,0,1100,1511,72.79947055,3.709090909
good,1,parents,60,31,single,no_rec,fixed,35,137,0,0,1250,1253,99.76057462,4.896
bad,2,rent,60,25,single,no_rec,fixed,46,107,0,0,1500,2189,68.52444038,2.44
good,5,owner,60,22,single,no_rec,fixed,45,324,10000,0,1100,1159,94.90940466,15.21818182
bad,1,owner,60,45,married,no_rec,partime,105,112,2000,500,600,1332,45.04504505,0.2
good,27,rent,60,41,married,no_rec,fixed,74,140,0,0,950,1497,63.46025384,4.168421053
good,26,owner,60,51,married,no_rec,fixed,45,143,3500,0,1350,1357,99.48415623,4.355555556
good,12,owner,36,54,married,no_rec,fixed,60,130,4000,0,700,2100,33.33333333,3.6
good,19,owner,60,43,single,no_rec,fixed,75,180,4000,0,1000,1070,93.45794393,6.3
good,15,owner,36,43,married,no_rec,fixed,75,251,4000,0,1800,2557,70.39499413,3.52
bad,3,owner,24,23,married,no_rec,fixed,75,85,5000,0,600,1600,37.5,0.4
good,4,owner,48,29,married,no_rec,fixed,45,150,5000,3300,1100,1312,83.84146341,3.141818182
